iso3,latest_year,latest_p_transition,latest_pred_transition,avg_p_transition_all,avg_p_transition_recentN,n_years_all,n_years_recentN,avg_d_co2_per_capita_recentN,avg_d_ln_co2_intensity_recentN,avg_d_ln_gdp_pc_recentN,priority_score,rank
RWA,2018,0.310371845615056,0,0.3908717372159252,0.3107147807954734,28,5,,,,0.3107147807954734,168
COD,2018,0.2457673834418851,0,0.3797551860278836,0.303418398719493,28,5,,,,0.303418398719493,169
IRN,2018,0.4049055276296298,0,0.2548129530186552,0.302729573163896,28,5,,,,0.302729573163896,170
LCA,2018,0.2976921180369843,0,0.277801481833423,0.3014046434450884,28,5,,,,0.3014046434450884,171
TUR,2018,0.3467146801406513,0,0.2202097204921298,0.2989324886381242,28,5,,,,0.2989324886381242,172
UGA,2018,0.2847766978510683,0,0.3602408097982407,0.2967475724710392,28,5,,,,0.2967475724710392,173
TZA,2018,0.2565041800765276,0,0.3444738982349302,0.2910079432769302,28,5,,,,0.2910079432769302,174
KIR,2018,0.2830660622210734,0,0.2455918967373034,0.2873265517719506,28,5,,,,0.2873265517719506,175
PAK,2018,0.3743254808788326,0,0.2485242601318426,0.2853007426174096,28,5,,,,0.2853007426174096,176
TCA,2018,0.3092186591207067,0,0.2757491087671339,0.2807738913972636,17,5,,,,0.2807738913972636,177
RUS,2018,0.2348530909107298,0,0.2943142036320345,0.2738342848863179,28,5,,,,0.2738342848863179,178
VCT,2018,0.2758185841545952,0,0.2606634675643474,0.2727665437652915,28,5,,,,0.2727665437652915,179
GRD,2018,0.2605468971978862,0,0.2456668581905024,0.2617797208211161,28,5,,,,0.2617797208211161,180
TUV,2018,0.2877313836962557,0,0.2774564572414451,0.2508244356370984,28,5,,,,0.2508244356370984,181
CHN,2018,0.2325188612094639,0,0.1456511952236775,0.2506572694063938,28,5,,,,0.2506572694063938,182
FSM,2018,0.2357439640627393,0,0.3118776188029939,0.2476642122074873,26,5,,,,0.2476642122074873,183
TON,2018,0.2332580158531319,0,0.2608732156971405,0.24452214067376,28,5,,,,0.24452214067376,184
BGD,2018,0.2553172215197306,0,0.2313949113807722,0.2436008521075259,28,5,,,,0.2436008521075259,185
SYC,2018,0.3436959420882484,0,0.2149317667580008,0.2417477987557494,28,5,,,,0.2417477987557494,186
ETH,2018,0.2225921248962674,0,0.2861113589397405,0.227385767017151,28,5,,,,0.227385767017151,187
DMA,2018,0.2145576100666706,0,0.2171336896518926,0.217521672373962,28,5,,,,0.217521672373962,188
MHL,2018,0.2095624801813985,0,0.2328222633701013,0.2165488193699672,26,5,,,,0.2165488193699672,189
ATG,2018,0.267873930955424,0,0.2087263011753787,0.2149757668821253,28,5,,,,0.2149757668821253,190
EGY,2018,0.2582772591953227,0,0.2164552562079003,0.2121141036650475,28,5,,,,0.2121141036650475,191
THA,2018,0.2109130136043973,0,0.1961318601485104,0.2079842421671672,28,5,,,,0.2079842421671672,192
PLW,2018,0.1977736607178838,0,0.2391143469015623,0.203347747997905,28,5,,,,0.203347747997905,193
NRU,2018,0.1931278891441785,0,0.536657827753828,0.1995255953293542,28,5,,,,0.1995255953293542,194
PHL,2018,0.1819825610932212,0,0.2485864162419897,0.1938644150037218,28,5,,,,0.1938644150037218,195
